row_type,user_id,age,gender,location,nationality,created_at,session_id,initial_offer,final_offer,final_price,outcome,session_status,dropoff_stage,started_at,ended_at,session_duration_seconds,turn_count,turn_number,speaker,message,offer_amount,concession_amount,offer_made,is_counter_offer,response_time_seconds,message_length,sentiment,strategy_tag,timestamp
turns,41f474e2-a0d9-43ef-b937-0145edbc4bc0,,,,,,619e7101-e92e-4f7a-af06-403f159f1121,,,,,,,,,,,1,AI,"I can move to $1,120,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,41f474e2-a0d9-43ef-b937-0145edbc4bc0,,,,,,619e7101-e92e-4f7a-af06-403f159f1121,,,,,,,,,,,2,Human,i want it,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,41f474e2-a0d9-43ef-b937-0145edbc4bc0,,,,,,619e7101-e92e-4f7a-af06-403f159f1121,,,,,,,,,,,2,AI,"I can move to $1,090,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,41f474e2-a0d9-43ef-b937-0145edbc4bc0,,,,,,619e7101-e92e-4f7a-af06-403f159f1121,,,,,,,,,,,3,Human,800,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,41f474e2-a0d9-43ef-b937-0145edbc4bc0,,,,,,619e7101-e92e-4f7a-af06-403f159f1121,,,,,,,,,,,3,AI,"I can move to $1,060,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,41f474e2-a0d9-43ef-b937-0145edbc4bc0,,,,,,619e7101-e92e-4f7a-af06-403f159f1121,,,,,,,,,,,4,Human,yuo,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,41f474e2-a0d9-43ef-b937-0145edbc4bc0,,,,,,619e7101-e92e-4f7a-af06-403f159f1121,,,,,,,,,,,4,AI,"I can move to $1,030,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,a61d826f-0a40-42c5-b2e3-4b7afad205af,,,,,,cf5a9f14-0efe-474f-8f4e-b912553c9413,,,,,,,,,,,1,Human,yu,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,a61d826f-0a40-42c5-b2e3-4b7afad205af,,,,,,cf5a9f14-0efe-474f-8f4e-b912553c9413,,,,,,,,,,,1,AI,"I can move to $1,120,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,a61d826f-0a40-42c5-b2e3-4b7afad205af,,,,,,cf5a9f14-0efe-474f-8f4e-b912553c9413,,,,,,,,,,,2,Human,jbbu,,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
turns,a61d826f-0a40-42c5-b2e3-4b7afad205af,,,,,,cf5a9f14-0efe-474f-8f4e-b912553c9413,,,,,,,,,,,2,AI,"I can move to $1,090,000 this round.",,,False,False,,0,neutral,neutral,2026-04-06T10:25:11.529111+00:00
